index,score,threshold,prediction,attack
163,163280.578125,45.028438568115234,1,1
164,163155.828125,45.028438568115234,1,0
165,163113.8125,45.028438568115234,1,0
166,163248.703125,45.028438568115234,1,0
167,162992.9375,45.028438568115234,1,0
168,162474.703125,45.028438568115234,1,0
169,162237.03125,45.028438568115234,1,0
170,162359.109375,45.028438568115234,1,0
171,162481.671875,45.028438568115234,1,0
172,162362.59375,45.028438568115234,1,0
173,162250.8125,45.028438568115234,1,1
174,161994.5,45.028438568115234,1,1
175,162094.59375,45.028438568115234,1,1
176,161781.96875,45.028438568115234,1,1
177,161663.78125,45.028438568115234,1,1
178,161395.21875,45.028438568115234,1,0
179,163796.0625,45.028438568115234,1,0
180,161163.875,45.028438568115234,1,0
181,158910.734375,45.028438568115234,1,0
182,159717.75,45.028438568115234,1,0
183,158541.8125,45.028438568115234,1,0
184,158393.78125,45.028438568115234,1,0
185,158354.84375,45.028438568115234,1,0
186,158506.859375,45.028438568115234,1,1
187,133307.15625,45.028438568115234,1,1
188,173521.96875,45.028438568115234,1,1
189,182325.421875,45.028438568115234,1,1
190,185097.78125,45.028438568115234,1,1
191,182783.140625,45.028438568115234,1,1
192,178459.375,45.028438568115234,1,1
193,178103.203125,45.028438568115234,1,0
194,178125.5,45.028438568115234,1,0
195,177989.71875,45.028438568115234,1,0
196,178013.734375,45.028438568115234,1,0
197,177833.65625,45.028438568115234,1,0
198,177763.65625,45.028438568115234,1,0
199,177897.890625,45.028438568115234,1,0
200,178016.15625,45.028438568115234,1,0
201,178111.953125,45.028438568115234,1,1
202,176920.53125,45.028438568115234,1,1
203,176418.1875,45.028438568115234,1,1
204,175834.734375,45.028438568115234,1,1
205,175800.734375,45.028438568115234,1,1
206,175659.921875,45.028438568115234,1,1
207,175527.703125,45.028438568115234,1,1
208,175416.09375,45.028438568115234,1,0
209,176323.125,45.028438568115234,1,0
210,176583.578125,45.028438568115234,1,0
211,176941.703125,45.028438568115234,1,0
212,176989.8125,45.028438568115234,1,0
213,177066.21875,45.028438568115234,1,0
214,177074.984375,45.028438568115234,1,0
215,177054.625,45.028438568115234,1,0
216,176985.515625,45.028438568115234,1,1
217,176997.84375,45.028438568115234,1,1
218,176995.484375,45.028438568115234,1,1
219,151677.921875,45.028438568115234,1,1
220,189563.171875,45.028438568115234,1,1
221,198059.59375,45.028438568115234,1,1
222,200821.5,45.028438568115234,1,1
223,199065.03125,45.028438568115234,1,0
224,194847.265625,45.028438568115234,1,0
225,194699.390625,45.028438568115234,1,0
226,194729.734375,45.028438568115234,1,0
227,194778.484375,45.028438568115234,1,0
228,194835.1875,45.028438568115234,1,0
229,194651.859375,45.028438568115234,1,0
230,194561.65625,45.028438568115234,1,0
231,194366.578125,45.028438568115234,1,1
232,194303.0625,45.028438568115234,1,1
233,2430096.5,45.028438568115234,1,1
234,4644211.0,45.028438568115234,1,1
235,2533969.0,45.028438568115234,1,1
236,2002966.25,45.028438568115234,1,1
237,1791134.125,45.028438568115234,1,1
238,861951.5,45.028438568115234,1,1
239,667461.9375,45.028438568115234,1,0
240,657912.0625,45.028438568115234,1,0
241,656519.8125,45.028438568115234,1,0
242,656506.1875,45.028438568115234,1,0
